"style","code","aspects","label","processed"
"Aligned with opening delimiter.","foo = long_function_name(var_one, var_two,
                         var_three, var_four)","n/fs","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def long_function_name(
        var_one, var_two, var_three,
        var_four):","n/fs","correct","True"
"Hanging indents should add a level.","foo = long_function_name(
    var_one, var_two,
    var_three, var_four)","n/fs","correct","True"
"No extra indentation (same level of indent).","if (this_is_one_thing and
    that_is_another_thing):","n","correct","True"
"Add some extra indentation on the conditional continuation line.","if (this_is_one_thing
        and that_is_another_thing):","n","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","my_list = [
    1, 2, 3,
    4, 5, 6,
]","n/cl","correct","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","result = some_function_that_takes_arguments(
    'a', 'b', 'c',
    'd', 'e', 'f',
)","n/fs","correct","True"
"Backslashes may still be appropriate at times. For example, long, multiple with-statements could not use implicit continuation before Python 3.10, so backslashes were acceptable for that casewith open('/path/to/some/file/you/want/to/read') as file_1, \","with open('/path/to/some/file/you/want/to/read') as file_1, \
     open('/path/to/some/file/being/written', 'w') as file_2:","n","correct","True"
"Displayed formulas always break before binary operations. Operators should be adjacent to their operands.","income = (gross_wages
          + taxable_interest
          + (dividends - qualified_dividends)
          - ira_deduction
          - student_loan_interest)","exp","correct","True"
"Imports should usually be on separate lines:","import os
import sys","m","correct","True"
"Module level �dunders� (i.e. names with two leading and two trailing underscores) such as __all__, __author__, __version__, etc. should be placed after the module docstring but before any import statements except from __future__ imports. Python mandates that future-imports must appear in the module before any other code except docstrings","""""""This is the example module.

This module does stuff.
""""""

from __future__ import barry_as_FLUFL

__all__ = ['a', 'b', 'c']
__version__ = '0.1'
__author__ = 'Cardinal Biggles'

import os
import sys","n/m","correct","True"
"Avoid extraneous whitespace Immediately inside parentheses, brackets or braces","spam(ham[1], {eggs: 2})","n/fs","correct","True"
"Avoid extraneous whitespace Between a trailing comma and a following close parenthesis","foo = (0,)","n","correct","True"
"Avoid extraneous whitespace Immediately before a comma, semicolon, or colon","if x == 4: print(x, y); x, y = y, x","n/exp/st","correct","True"
"However, in a slice the colon acts like a binary operator, and should have equal amounts on either side (treating it as the operator with the lowest priority). In an extended slice, both colons must have the same amount of spacing applied. Exception: when a slice parameter is omitted, the space is omitted:","ham[1:9], ham[1:9:3], ham[:9:3], ham[1::3], ham[1:9:]
ham[lower:upper], ham[lower:upper:], ham[lower::step]
ham[lower+offset : upper+offset]
ham[: upper_fn(x) : step_fn(x)], ham[:: step_fn(x)]
ham[lower + offset : upper + offset]","n/exp","correct","True"
"Avoid extraneous whitespace Immediately before the open parenthesis that starts the argument list of a function call:","spam(1)","n/fs","correct","True"
"Avoid extraneous whitespace Immediately before the open parenthesis that starts an indexing or slicing","dct['key'] = lst[index]","n/cl","correct","True"
"Avoid extraneous whitespace: More than one space around an assignment (or other) operator to align it with another:","x = 1
y = 2
long_variable = 3","n/exp","correct","True"
"Always surround these binary operators with a single space on either side: assignment (=), augmented assignment (+=, -= etc.), comparisons (==, <, >, !=, <>, <=, >=, in, not in, is, is not), Booleans (and, or, not). If operators with different priorities are used, consider adding whitespace around the operators with the lowest priority(ies). Use your own judgment; however, never use more than one space, and always have the same amount of whitespace on both sides of a binary operator","i = i + 1
submitted += 1
x = x*2 - 1
hypot2 = x*x + y*y
c = (a+b) * (a-b)","n/exp","correct","True"
"Function annotations should use the normal rules for colons and always have spaces around the -> arrow if present. (See Function Annotations below for more about function annotations.):","def munge(input: AnyStr) -> PosInt:","n/t","correct","True"
"Don�t use spaces around the = sign when used to indicate a keyword argument, or when used to indicate a default value for an unannotated function parameter:","def complex(real, imag=0.0):
    return magic(r=real, i=imag)","n/fs","correct","True"
"When combining an argument annotation with a default value, however, do use spaces around the = sign:","def munge(sep: AnyStr = None):
def munge(input: AnyStr, sep: AnyStr = None, limit=1000):","n/fs","correct","True"
"Compound statements (multiple statements on the same line) are generally discouraged:","if foo == 'blah':
    do_blah_thing()
do_one()
do_two()
do_three()","n/st","correct","True"
