"style","code","label","processed"
"Aligned with opening delimiter.","foo = long_function_name(var_one, var_two,
                        var_three, var_four)","wrong","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def long_function_name(
        var_one, var_two, var_three,
         var_four):","wrong","True"
"Hanging indents should add a level.","foo = long_function_name(
var_one, var_two,
var_three, var_four)","wrong","True"
"No extra indentation (same level of indent).","if (this_is_one_thing and
 that_is_another_thing):","wrong","True"
"Add some extra indentation on the conditional continuation line.","if (this_is_one_thing
     and that_is_another_thing):","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (collection case)","my_list = [
    1, 2, 3,
  4, 5, 6,
]","wrong","True"
"The closing brace/bracket/parenthesis on multiline constructs must be lined up under the first character of the line that starts the multiline construct (function call case)","result = some_function_that_takes_arguments(
    'a', 'b', 'c',
      'd', 'e', 'f',
)","wrong","True"
"Backslashes may still be appropriate at times. For example, long, multiple with-statements could not use implicit continuation before Python 3.10, so backslashes were acceptable for that casewith open('/path/to/some/file/you/want/to/read') as file_1, \","with open('/path/to/some/file/you/want/to/read') as file_1, open('/path/to/some/file/being/written', 'w') as file_2:","wrong","True"
"Displayed formulas always break before binary operations. Operators should be adjacent to their operands.","income = (gross_wages +
          taxable_interest +
          (dividends - qualified_dividends) -
          ira_deduction -
          student_loan_interest)","wrong","True"
"Imports should usually be on separate lines:","import sys, os","wrong","True"
"Module level �dunders� (i.e. names with two leading and two trailing underscores) such as __all__, __author__, __version__, etc. should be placed after the module docstring but before any import statements except from __future__ imports. Python mandates that future-imports must appear in the module before any other code except docstrings","from __future__ import barry_as_FLUFL

__all__ = ['a', 'b', 'c']
__version__ = '0.1'
__author__ = 'Cardinal Biggles'

""""""This is the example module.

This module does stuff.
""""""

import os
import sys","wrong","True"
"Avoid extraneous whitespace Immediately inside parentheses, brackets or braces","spam( ham[ 1 ], { eggs: 2 } )","wrong","True"
"Avoid extraneous whitespace Between a trailing comma and a following close parenthesis","bar = (0, )","wrong","True"
"Avoid extraneous whitespace Immediately before a comma, semicolon, or colon","if x == 4 : print(x , y) ; x , y = y , x","wrong","True"
"However, in a slice the colon acts like a binary operator, and should have equal amounts on either side (treating it as the operator with the lowest priority). In an extended slice, both colons must have the same amount of spacing applied. Exception: when a slice parameter is omitted, the space is omitted:","ham[lower + offset:upper + offset]
ham[1: 9], ham[1 :9], ham[1:9 :3]
ham[lower : : step]
ham[ : upper]","wrong","True"
"Avoid extraneous whitespace Immediately before the open parenthesis that starts the argument list of a function call:","spam (1)","wrong","True"
"Avoid extraneous whitespace Immediately before the open parenthesis that starts an indexing or slicing","dct ['key'] = lst [index]","wrong","True"
"Avoid extraneous whitespace: More than one space around an assignment (or other) operator to align it with another:","x             = 1
y             = 2
long_variable = 3","wrong","True"
