"style","code","label","processed"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def calculate_area(
        length, width, height,
        depth):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def process_data(
        input_value, output_value, ratio,
        factor):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def create_user(
        username, email, password,
        phone_number):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def draw_shape(
        corner, side_length, color,
        texture, opacity):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def send_message(
        sender, receiver, content,
        date_time, priority):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def connect_devices(
        primary_device, secondary_device, method,
        protocol, bandwidth):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def configure_system(
        user_config, system_config, environment,
        access_level):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def analyze_performance(
        metric_one, metric_two, baseline,
        target, variance):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def start_engine(
        ignition_key, fuel_level, oil_pressure,
        engine_temp, status_code):
","correct","True"
"Add 4 spaces (an extra level of indentation) to distinguish arguments from the rest.","def record_action(
        action_id, user_id, timestamp,
        session_length, event_type):","correct","True"
"Hanging indents should add a level.","data = process_data(
    input_vals, configuration,
    parameters, options_set)
","correct","True"
"Hanging indents should add a level.","record = save_entry(
    record_id, data_object,
    metadata, timestamp)
","correct","True"
"Hanging indents should add a level.","result = evaluate_performance(
    matrix, vector,
    coefs, bias)
","correct","True"
"Hanging indents should add a level.","info = extract_information(
    source, destination,
    route_map, time_frame)
","correct","True"
"Hanging indents should add a level.","person = update_profile(
    user_id, account_data,
    settings, history_log)
","correct","True"
"Hanging indents should add a level.","calc = calculate_result(
    operand_one, operand_two,
    aux_data, extra_params)
","correct","True"
"Hanging indents should add a level.","draw = render_image(
    canvas, shape_info,
    color_map, depth_field)
","correct","True"
"Hanging indents should add a level.","content = parse_document(
    header_data, body_content,
    footer_info, doc_style)
","correct","True"
"Hanging indents should add a level.","setup = configure_system(
    main_config, backup_plan,
    user_prefs, opt_mode)
","correct","True"
"Hanging indents should add a level.","merge = combine_records(
    primary_rec, secondary_rec,
    merge_strategy, field_mapping)","correct","True"
"No extra indentation (same level of indent).","if (item_valid and
    list_complete):
","correct","True"
"No extra indentation (same level of indent).","if (user_active and
    profile_filled):
","correct","True"
"No extra indentation (same level of indent).","if (game_started and
    level_reached):
","correct","True"
"No extra indentation (same level of indent).","if (files_exist and
    permission_granted):
","correct","True"
"No extra indentation (same level of indent).","if (connection_established and
    signal_strong):
","correct","True"
